C038  D0 FA     BNE $C034                       A:00 X:C3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:BA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:BA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:BA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:B9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:B9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:B9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:B8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
